etiqueta,persona,id_muestra,frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,ubic_izq_x,ubic_izq_y,ubic_der_x,ubic_der_y,ubic_nariz_x,ubic_nariz_y,ubic_ojos_x,ubic_ojos_y,ubic_boca_x,ubic_boca_y,ubic_orejaizq_x,ubic_orejaizq_y,ubic_orejader_x,ubic_orejader_y
PRUEBA_1,prueba,0,0,0.000000,0.000000,0.000000,-0.039645,-0.030800,-0.017601,-0.074608,-0.081188,-0.028728,-0.102180,-0.124437,-0.038344,-0.128168,-0.151149,-0.048087,-0.051842,-0.179826,-0.017399,-0.065674,-0.253830,-0.030838,-0.073257,-0.298705,-0.042061,-0.078799,-0.339685,-0.050576,-0.025151,-0.193144,-0.019612,-0.027400,-0.279541,-0.030759,-0.028440,-0.332346,-0.040437,-0.029584,-0.380804,-0.047939,0.000299,-0.186973,-0.024209,0.002642,-0.271193,-0.036941,0.003385,-0.322341,-0.044906,0.002698,-0.370124,-0.050691,0.024759,-0.166778,-0.030260,0.033918,-0.228672,-0.041881,0.039536,-0.269381,-0.045992,0.043465,-0.309077,-0.048736,0.000000,0.000000,0.000000,0.038081,-0.033371,-0.012730,0.071593,-0.084123,-0.019803,0.097371,-0.125556,-0.027009,0.120387,-0.149527,-0.034532,0.048683,-0.179701,-0.008798,0.061170,-0.244248,-0.019703,0.067196,-0.284082,-0.030129,0.072039,-0.321027,-0.037967,0.024761,-0.192438,-0.011872,0.031193,-0.272955,-0.021043,0.035194,-0.322082,-0.030432,0.038001,-0.366953,-0.037531,0.001218,-0.188719,-0.016939,0.003172,-0.265516,-0.026109,0.004920,-0.316020,-0.033735,0.006777,-0.362550,-0.039284,-0.023320,-0.171529,-0.023466,-0.026970,-0.230648,-0.031994,-0.029167,-0.268534,-0.035428,-0.030724,-0.305357,-0.037537,0.812996,-0.219743,-0.757356,-0.309444,0.056932,-0.981831,0.050993,-1.150499,0.046159,-0.803104,0.217996,-1.062963,-0.169674,-1.098231
PRUEBA_1,prueba,0,1,0.000000,0.000000,0.000000,-0.039089,-0.027957,-0.016577,-0.074211,-0.075739,-0.027227,-0.101324,-0.116914,-0.036438,-0.127184,-0.141352,-0.045858,-0.053836,-0.176337,-0.017549,-0.067632,-0.248884,-0.030622,-0.074641,-0.293457,-0.041443,-0.079435,-0.334105,-0.049787,-0.027288,-0.189935,-0.020293,-0.030895,-0.275246,-0.031190,-0.031723,-0.327498,-0.040536,-0.032535,-0.374649,-0.047868,-0.001355,-0.183382,-0.025270,-0.000305,-0.267615,-0.038154,0.000199,-0.318541,-0.046073,-0.000696,-0.365405,-0.051809,0.023708,-0.162672,-0.031529,0.031786,-0.225735,-0.043652,0.036645,-0.267338,-0.048074,0.039942,-0.307723,-0.051001,0.000000,0.000000,0.000000,0.039311,-0.030839,-0.012324,0.073952,-0.077387,-0.019354,0.099409,-0.117741,-0.026522,0.122639,-0.141457,-0.033957,0.052269,-0.173191,-0.007883,0.065938,-0.235101,-0.018523,0.072293,-0.273171,-0.028783,0.077441,-0.308338,-0.036458,0.029004,-0.186857,-0.011025,0.037397,-0.265970,-0.020028,0.042675,-0.314638,-0.029435,0.046406,-0.358696,-0.036499,0.005655,-0.184426,-0.016158,0.008681,-0.260131,-0.025424,0.011061,-0.310000,-0.033243,0.013323,-0.355791,-0.038819,-0.018878,-0.168561,-0.022633,-0.020828,-0.226814,-0.031321,-0.021997,-0.264616,-0.034898,-0.022992,-0.301425,-0.037053,0.812342,-0.250943,-0.758267,-0.342692,0.057721,-1.003744,0.052019,-1.168425,0.047608,-0.837816,0.217034,-1.064656,-0.165696,-1.108985
PRUEBA_1,prueba,0,2,0.000000,0.000000,0.000000,-0.038432,-0.027618,-0.016447,-0.073822,-0.075234,-0.027012,-0.101087,-0.116147,-0.036174,-0.127255,-0.140198,-0.045610,-0.053130,-0.176415,-0.017220,-0.066870,-0.249307,-0.030519,-0.074015,-0.293852,-0.041438,-0.079094,-0.334130,-0.049800,-0.026319,-0.189425,-0.020151,-0.029536,-0.275127,-0.031293,-0.030165,-0.327304,-0.040741,-0.031157,-0.374253,-0.048073,-0.000445,-0.183138,-0.025386,0.001061,-0.267663,-0.038609,0.001419,-0.319170,-0.046589,-0.000041,-0.365985,-0.052277,0.024585,-0.163112,-0.031851,0.033063,-0.226972,-0.044046,0.038003,-0.268278,-0.048236,0.040578,-0.307788,-0.051000,0.000000,0.000000,0.000000,0.039291,-0.030059,-0.011976,0.073122,-0.076341,-0.018632,0.098801,-0.116661,-0.025535,0.122140,-0.140667,-0.032777,0.052396,-0.171839,-0.007506,0.065450,-0.233933,-0.018210,0.071533,-0.272278,-0.028620,0.076688,-0.307690,-0.036570,0.029020,-0.186059,-0.011088,0.036725,-0.265116,-0.020306,0.041436,-0.314228,-0.030163,0.044866,-0.358404,-0.037684,0.005519,-0.183825,-0.016641,0.008080,-0.258747,-0.026269,0.010309,-0.308965,-0.034324,0.012454,-0.354901,-0.040197,-0.019455,-0.167815,-0.023518,-0.021491,-0.225352,-0.032740,-0.022633,-0.263535,-0.036649,-0.023481,-0.300893,-0.039132,0.808302,-0.252557,-0.751968,-0.347983,0.056750,-1.019333,0.050922,-1.181101,0.047095,-0.852070,0.216943,-1.069240,-0.165302,-1.115663
PRUEBA_1,prueba,0,3,0.000000,0.000000,0.000000,-0.038940,-0.026650,-0.016384,-0.074631,-0.070436,-0.027114,-0.101709,-0.108838,-0.036533,-0.127246,-0.130220,-0.046112,-0.056341,-0.167978,-0.017353,-0.071859,-0.239385,-0.030418,-0.079867,-0.282759,-0.041079,-0.085419,-0.322496,-0.049213,-0.031018,-0.182954,-0.019931,-0.036198,-0.267060,-0.030854,-0.038116,-0.318614,-0.040051,-0.039676,-0.365196,-0.047236,-0.005677,-0.179208,-0.024732,-0.006585,-0.262049,-0.037248,-0.007036,-0.311659,-0.044900,-0.008555,-0.356745,-0.050454,0.019558,-0.162278,-0.030885,0.025850,-0.224168,-0.042521,0.029827,-0.265024,-0.046802,0.032564,-0.304178,-0.049661,0.000000,0.000000,0.000000,0.039337,-0.024873,-0.011870,0.074018,-0.068406,-0.018393,0.099682,-0.106346,-0.025026,0.122852,-0.126925,-0.032039,0.057653,-0.159385,-0.008374,0.071000,-0.219192,-0.018527,0.077164,-0.255899,-0.028124,0.082283,-0.289868,-0.035385,0.034846,-0.175923,-0.011319,0.043631,-0.252414,-0.019997,0.048398,-0.299199,-0.028949,0.051810,-0.341232,-0.035772,0.011443,-0.176780,-0.016103,0.016311,-0.249850,-0.024908,0.019646,-0.297384,-0.032373,0.022943,-0.340823,-0.037881,-0.013711,-0.165034,-0.022176,-0.014221,-0.221514,-0.030399,-0.014429,-0.257997,-0.033913,-0.013956,-0.293274,-0.036198,0.817921,-0.295625,-0.755656,-0.400693,0.058172,-1.022054,0.052102,-1.182202,0.048889,-0.853834,0.216524,-1.070703,-0.162870,-1.114410
PRUEBA_1,prueba,0,4,0.000000,0.000000,0.000000,-0.038280,-0.021764,-0.016866,-0.073305,-0.062187,-0.027626,-0.099276,-0.099477,-0.036833,-0.124263,-0.121032,-0.046153,-0.057203,-0.160322,-0.018265,-0.072390,-0.230077,-0.031268,-0.080024,-0.272779,-0.041706,-0.085344,-0.311503,-0.049579,-0.031919,-0.175156,-0.020478,-0.037228,-0.258872,-0.031334,-0.039311,-0.309565,-0.040272,-0.041164,-0.354880,-0.047193,-0.006976,-0.171768,-0.024902,-0.008331,-0.254303,-0.037738,-0.008901,-0.303703,-0.045214,-0.010442,-0.348348,-0.050543,0.017684,-0.155288,-0.030643,0.024036,-0.216144,-0.042857,0.028324,-0.255237,-0.047068,0.031243,-0.292433,-0.049727,0.000000,0.000000,0.000000,0.038931,-0.024347,-0.012196,0.072615,-0.064481,-0.018793,0.097634,-0.100999,-0.025431,0.120726,-0.122903,-0.032576,0.057796,-0.155740,-0.009350,0.070713,-0.214881,-0.019829,0.076653,-0.251179,-0.029532,0.081902,-0.285238,-0.036965,0.035556,-0.172205,-0.012199,0.044168,-0.246273,-0.021306,0.048375,-0.291644,-0.030611,0.051556,-0.332711,-0.037742,0.012401,-0.172296,-0.016833,0.016895,-0.243569,-0.026260,0.019164,-0.290235,-0.033870,0.021528,-0.333394,-0.039468,-0.012572,-0.159470,-0.022728,-0.013112,-0.214563,-0.031898,-0.013533,-0.251129,-0.036003,-0.013420,-0.287436,-0.038603,0.817341,-0.336775,-0.757539,-0.433272,0.054695,-1.022796,0.048990,-1.181365,0.047134,-0.854162,0.212382,-1.072163,-0.164080,-1.112511
PRUEBA_1,prueba,0,5,0.000000,0.000000,0.000000,-0.038161,-0.020210,-0.017136,-0.073201,-0.060567,-0.028082,-0.099416,-0.099160,-0.037400,-0.124789,-0.121561,-0.046843,-0.056729,-0.159536,-0.018992,-0.071516,-0.229245,-0.032350,-0.079390,-0.271903,-0.042961,-0.085168,-0.310284,-0.050942,-0.031091,-0.174223,-0.021374,-0.036038,-0.257645,-0.032732,-0.037822,-0.308872,-0.042074,-0.039762,-0.354524,-0.049169,-0.005931,-0.170943,-0.025969,-0.006412,-0.253150,-0.039450,-0.006888,-0.303559,-0.047610,-0.008945,-0.348828,-0.053274,0.018869,-0.154603,-0.031793,0.026065,-0.216138,-0.044449,0.030409,-0.255449,-0.049021,0.032542,-0.292120,-0.051880,0.000000,0.000000,0.000000,0.039167,-0.023447,-0.011953,0.072585,-0.063642,-0.018227,0.097715,-0.099980,-0.024566,0.120717,-0.121146,-0.031360,0.056825,-0.155466,-0.008301,0.070079,-0.214215,-0.018451,0.076506,-0.250382,-0.028021,0.082048,-0.283566,-0.035407,0.035005,-0.171487,-0.011257,0.043883,-0.245112,-0.020206,0.048516,-0.290576,-0.029588,0.051827,-0.330724,-0.036781,0.012314,-0.171617,-0.016066,0.016829,-0.242511,-0.025598,0.019417,-0.289847,-0.033614,0.021878,-0.332408,-0.039471,-0.012269,-0.159130,-0.022093,-0.013544,-0.213575,-0.031452,-0.014085,-0.250510,-0.035898,-0.013907,-0.286551,-0.038793,0.815749,-0.338435,-0.755567,-0.435951,0.054665,-1.022074,0.048353,-1.180957,0.047234,-0.852710,0.209282,-1.073028,-0.164161,-1.113512
PRUEBA_1,prueba,0,6,0.000000,0.000000,0.000000,-0.037892,-0.021329,-0.015928,-0.072137,-0.064054,-0.025620,-0.098315,-0.101755,-0.033831,-0.122908,-0.123049,-0.042085,-0.056540,-0.157139,-0.016202,-0.071533,-0.225214,-0.028225,-0.078506,-0.267170,-0.037929,-0.083408,-0.304787,-0.045233,-0.032231,-0.172986,-0.018213,-0.037479,-0.255189,-0.027878,-0.039662,-0.304457,-0.036085,-0.041836,-0.347755,-0.042434,-0.008134,-0.170729,-0.022369,-0.009845,-0.251007,-0.033912,-0.010862,-0.298609,-0.040809,-0.012798,-0.341485,-0.045755,0.015772,-0.155618,-0.027778,0.021529,-0.214984,-0.038848,0.025468,-0.253576,-0.042667,0.028120,-0.290354,-0.045062,0.000000,0.000000,0.000000,0.038479,-0.025468,-0.011296,0.071027,-0.068589,-0.017165,0.095675,-0.105225,-0.023182,0.118162,-0.123710,-0.029711,0.056121,-0.156470,-0.008511,0.069058,-0.215586,-0.018036,0.074820,-0.251047,-0.027142,0.079399,-0.284833,-0.034291,0.034554,-0.173086,-0.011476,0.043199,-0.245233,-0.019614,0.046947,-0.289205,-0.028379,0.049101,-0.329420,-0.035151,0.011897,-0.174179,-0.016094,0.016881,-0.244141,-0.024433,0.018532,-0.289012,-0.031556,0.019750,-0.330816,-0.036852,-0.012552,-0.162347,-0.021927,-0.013097,-0.216664,-0.030000,-0.013561,-0.252158,-0.033563,-0.013716,-0.286679,-0.035784,0.814854,-0.384509,-0.763250,-0.477293,0.050362,-1.029423,0.045536,-1.188534,0.044249,-0.860715,0.205491,-1.081215,-0.164951,-1.119895
PRUEBA_1,prueba,0,7,0.000000,0.000000,0.000000,-0.036635,-0.024162,-0.015754,-0.070279,-0.064132,-0.025473,-0.096016,-0.100058,-0.033890,-0.119987,-0.121319,-0.042261,-0.055087,-0.158376,-0.014766,-0.070621,-0.224810,-0.026952,-0.078068,-0.266177,-0.037029,-0.083297,-0.303532,-0.044612,-0.031342,-0.174077,-0.016963,-0.036921,-0.253338,-0.026862,-0.039109,-0.301203,-0.035156,-0.041201,-0.343441,-0.041527,-0.007488,-0.172116,-0.021481,-0.009089,-0.250723,-0.033143,-0.010428,-0.297331,-0.039647,-0.012725,-0.339015,-0.044251,0.016443,-0.156870,-0.027345,0.022398,-0.215236,-0.038175,0.025853,-0.253425,-0.041609,0.027644,-0.289387,-0.043737,0.000000,0.000000,0.000000,0.037295,-0.025620,-0.010865,0.068506,-0.066721,-0.016992,0.092760,-0.102046,-0.023490,0.114526,-0.122130,-0.030503,0.054350,-0.154422,-0.008150,0.066080,-0.214421,-0.018025,0.070868,-0.250883,-0.027347,0.074867,-0.285015,-0.034587,0.032898,-0.169599,-0.011526,0.040452,-0.242636,-0.020061,0.043877,-0.287453,-0.029059,0.046424,-0.327902,-0.036066,0.010580,-0.170061,-0.016568,0.014510,-0.239315,-0.025182,0.016605,-0.284184,-0.032256,0.018650,-0.325383,-0.037600,-0.013567,-0.158507,-0.022831,-0.014106,-0.211926,-0.031186,-0.014707,-0.247075,-0.034806,-0.015037,-0.281437,-0.037152,0.812484,-0.399127,-0.768082,-0.497130,0.045068,-1.032478,0.041168,-1.191699,0.039894,-0.868372,0.200638,-1.084121,-0.166819,-1.122384
PRUEBA_1,prueba,0,8,0.000000,0.000000,0.000000,-0.036614,-0.023542,-0.016160,-0.070375,-0.063482,-0.026067,-0.096212,-0.099974,-0.034641,-0.120324,-0.120903,-0.043181,-0.055485,-0.157857,-0.014915,-0.070436,-0.224869,-0.027248,-0.077712,-0.266317,-0.037508,-0.082861,-0.303665,-0.045205,-0.031536,-0.173245,-0.017067,-0.036922,-0.252455,-0.027198,-0.038931,-0.301033,-0.035769,-0.040863,-0.344224,-0.042292,-0.007554,-0.171373,-0.021594,-0.009107,-0.249748,-0.033482,-0.010152,-0.296917,-0.040253,-0.012058,-0.339167,-0.044984,0.016358,-0.156369,-0.027504,0.021965,-0.214628,-0.038404,0.025504,-0.252859,-0.041899,0.027604,-0.288789,-0.044067,0.000000,0.000000,0.000000,0.036393,-0.024690,-0.010539,0.067460,-0.066086,-0.016371,0.091661,-0.102088,-0.022569,0.113305,-0.123583,-0.029170,0.052814,-0.155153,-0.007176,0.064746,-0.214336,-0.016945,0.069919,-0.250759,-0.026290,0.074231,-0.284465,-0.033563,0.031718,-0.170235,-0.010752,0.039476,-0.243028,-0.019236,0.043416,-0.287617,-0.028269,0.046308,-0.327482,-0.035254,0.009957,-0.170386,-0.016032,0.013541,-0.239315,-0.024705,0.016169,-0.284822,-0.031915,0.018670,-0.326270,-0.037361,-0.013530,-0.158177,-0.022505,-0.014827,-0.211138,-0.030904,-0.015373,-0.246162,-0.034543,-0.015423,-0.280468,-0.036958,0.813405,-0.401292,-0.766409,-0.498085,0.043321,-1.034092,0.040286,-1.193692,0.038935,-0.869536,0.200353,-1.086397,-0.167087,-1.124125
PRUEBA_1,prueba,0,9,0.000000,0.000000,0.000000,-0.036470,-0.023164,-0.013829,-0.068925,-0.062986,-0.022693,-0.093308,-0.098146,-0.030612,-0.116643,-0.117007,-0.038725,-0.053254,-0.152673,-0.013548,-0.068855,-0.217313,-0.025115,-0.076016,-0.257390,-0.034673,-0.080805,-0.293825,-0.041872,-0.030305,-0.168702,-0.016362,-0.036367,-0.247409,-0.025779,-0.039030,-0.294772,-0.033899,-0.041172,-0.336338,-0.040207,-0.007264,-0.167488,-0.021226,-0.009121,-0.244294,-0.032195,-0.010619,-0.290000,-0.038702,-0.012545,-0.330860,-0.043457,0.015724,-0.153362,-0.027283,0.021408,-0.209956,-0.037346,0.024823,-0.247407,-0.040695,0.027107,-0.283103,-0.042932,0.000000,0.000000,0.000000,0.037044,-0.024932,-0.010203,0.068091,-0.065517,-0.015503,0.091747,-0.101285,-0.021108,0.113190,-0.121338,-0.027101,0.053642,-0.152716,-0.006347,0.065461,-0.211120,-0.015134,0.070263,-0.246857,-0.023768,0.074054,-0.280002,-0.030510,0.032610,-0.168519,-0.009275,0.040131,-0.239893,-0.016625,0.043247,-0.283869,-0.024879,0.045201,-0.323103,-0.031319,0.010966,-0.169332,-0.013824,0.015239,-0.237126,-0.021445,0.017011,-0.280816,-0.028125,0.018260,-0.320550,-0.033176,-0.012393,-0.157533,-0.019526,-0.013001,-0.209461,-0.027090,-0.014123,-0.243631,-0.030364,-0.015293,-0.277043,-0.032416,0.809398,-0.442680,-0.770989,-0.522514,0.041981,-1.037437,0.039982,-1.196896,0.037866,-0.873512,0.200360,-1.089804,-0.166784,-1.127043
